category,product_name,material_score,carbon_footprint,packaging,tip
Furniture,Bamboo Chair,10,6,3,Sustainable alternative to plastic furniture.
Household,Bamboo Toothbrush,7,5,1,Switch to biodegradable toothbrushes.
Automotive,Eco Car Wash Shampoo,6,9,1,Biodegradable car wash soap.
Sports,Recycled Yoga Mat,9,3,3,Made from sustainable materials.
Furniture,Bamboo Chair,7,5,5,Sustainable alternative to plastic furniture.
Stationery,Notebook,9,7,2,Use recycled paper notebooks.
Electronics,LED Bulb,9,7,3,Switch to LED bulbs for lower energy usage.
Groceries,Reusable Bag,7,10,1,Avoid plastic bags by carrying a reusable one.
Healthcare,Reusable Cotton Pads,5,1,1,Replace disposable wipes with reusable ones.
Kitchen,Steel Water Bottle,7,1,1,Refill instead of buying plastic bottles.
Healthcare,Reusable Cotton Pads,8,5,3,Replace disposable wipes with reusable ones.
Healthcare,Reusable Cotton Pads,6,2,3,Replace disposable wipes with reusable ones.
Toys,Wooden Blocks,5,7,5,Eco-friendly alternative to plastic toys.
Furniture,Bamboo Chair,10,10,1,Sustainable alternative to plastic furniture.
Healthcare,Reusable Cotton Pads,10,3,4,Replace disposable wipes with reusable ones.
Sports,Recycled Yoga Mat,10,6,4,Made from sustainable materials.
Sports,Recycled Yoga Mat,5,9,4,Made from sustainable materials.
Healthcare,Reusable Cotton Pads,7,7,2,Replace disposable wipes with reusable ones.
Electronics,Laptop,10,3,1,Use energy-saving mode to reduce power consumption.
Furniture,Bamboo Chair,10,5,5,Sustainable alternative to plastic furniture.
Clothing,Handkerchief,10,10,1,Reuse and wash instead of using tissues.
Furniture,Bamboo Chair,5,6,4,Sustainable alternative to plastic furniture.
Healthcare,Reusable Cotton Pads,5,9,1,Replace disposable wipes with reusable ones.
Groceries,Reusable Bag,9,5,1,Avoid plastic bags by carrying a reusable one.
Electronics,LED Bulb,10,4,2,Switch to LED bulbs for lower energy usage.
Toys,Wooden Blocks,9,8,3,Eco-friendly alternative to plastic toys.
Automotive,Eco Car Wash Shampoo,10,8,5,Biodegradable car wash soap.
Beauty,Lipstick,7,1,5,Opt for refillable lipstick cases to reduce waste.
Toys,Wooden Blocks,8,6,2,Eco-friendly alternative to plastic toys.
Clothing,Cotton Shirt,5,7,5,Wash with cold water to save energy.
Household,Bamboo Toothbrush,10,4,1,Switch to biodegradable toothbrushes.
Clothing,Cotton Shirt,9,10,2,Wash with cold water to save energy.
Furniture,Bamboo Chair,6,9,4,Sustainable alternative to plastic furniture.
Electronics,LED Bulb,8,5,4,Switch to LED bulbs for lower energy usage.
Beauty,Lipstick,5,3,3,Opt for refillable lipstick cases to reduce waste.
Household,Bamboo Toothbrush,6,3,4,Switch to biodegradable toothbrushes.
Healthcare,Reusable Cotton Pads,8,5,4,Replace disposable wipes with reusable ones.
Gardening,Compost Bin,7,9,5,Convert kitchen waste into compost.
Sports,Recycled Yoga Mat,7,5,2,Made from sustainable materials.
Clothing,Handkerchief,5,6,4,Reuse and wash instead of using tissues.
Beauty,Lipstick,7,10,2,Opt for refillable lipstick cases to reduce waste.
Sports,Recycled Yoga Mat,7,10,5,Made from sustainable materials.
Clothing,Handkerchief,10,3,3,Reuse and wash instead of using tissues.
Groceries,Reusable Bag,10,3,5,Avoid plastic bags by carrying a reusable one.
Gardening,Compost Bin,5,3,1,Convert kitchen waste into compost.
Kitchen,Wooden Spoon,10,8,4,Use biodegradable wooden spoons instead of plastic.
Gardening,Compost Bin,10,5,3,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,7,4,4,Switch to biodegradable toothbrushes.
Electronics,LED Bulb,5,5,3,Switch to LED bulbs for lower energy usage.
Gardening,Compost Bin,9,9,3,Convert kitchen waste into compost.
Kitchen,Wooden Spoon,7,1,1,Use biodegradable wooden spoons instead of plastic.
Furniture,Bamboo Chair,5,6,1,Sustainable alternative to plastic furniture.
Furniture,Bamboo Chair,6,8,2,Sustainable alternative to plastic furniture.
Sports,Recycled Yoga Mat,9,7,3,Made from sustainable materials.
Stationery,Pen,6,5,3,Refillable pens reduce plastic waste.
Healthcare,Reusable Cotton Pads,10,2,3,Replace disposable wipes with reusable ones.
Beauty,Lipstick,9,2,5,Opt for refillable lipstick cases to reduce waste.
Gardening,Compost Bin,6,7,1,Convert kitchen waste into compost.
Kitchen,Steel Water Bottle,10,3,5,Refill instead of buying plastic bottles.
Clothing,Cotton Shirt,6,9,4,Wash with cold water to save energy.
Electronics,Laptop,5,3,1,Use energy-saving mode to reduce power consumption.
Electronics,LED Bulb,7,5,5,Switch to LED bulbs for lower energy usage.
Gardening,Compost Bin,9,4,5,Convert kitchen waste into compost.
Toys,Wooden Blocks,7,3,1,Eco-friendly alternative to plastic toys.
Toys,Wooden Blocks,5,1,5,Eco-friendly alternative to plastic toys.
Groceries,Reusable Bag,7,2,3,Avoid plastic bags by carrying a reusable one.
Clothing,Cotton Shirt,7,9,4,Wash with cold water to save energy.
Household,Bamboo Toothbrush,5,6,3,Switch to biodegradable toothbrushes.
Beauty,Lipstick,9,4,3,Opt for refillable lipstick cases to reduce waste.
Groceries,Reusable Bag,8,8,1,Avoid plastic bags by carrying a reusable one.
Clothing,Handkerchief,10,9,5,Reuse and wash instead of using tissues.
Toys,Wooden Blocks,8,1,4,Eco-friendly alternative to plastic toys.
Household,Bamboo Toothbrush,5,7,2,Switch to biodegradable toothbrushes.
Gardening,Compost Bin,10,5,1,Convert kitchen waste into compost.
Healthcare,Reusable Cotton Pads,10,1,3,Replace disposable wipes with reusable ones.
Electronics,Laptop,9,8,3,Use energy-saving mode to reduce power consumption.
Kitchen,Steel Water Bottle,5,8,3,Refill instead of buying plastic bottles.
Healthcare,Reusable Cotton Pads,5,9,4,Replace disposable wipes with reusable ones.
Kitchen,Steel Water Bottle,5,8,3,Refill instead of buying plastic bottles.
Electronics,LED Bulb,8,7,2,Switch to LED bulbs for lower energy usage.
Electronics,LED Bulb,10,2,2,Switch to LED bulbs for lower energy usage.
Furniture,Bamboo Chair,7,9,4,Sustainable alternative to plastic furniture.
Stationery,Notebook,6,9,5,Use recycled paper notebooks.
Healthcare,Reusable Cotton Pads,7,6,4,Replace disposable wipes with reusable ones.
Groceries,Reusable Bag,5,1,1,Avoid plastic bags by carrying a reusable one.
Clothing,Cotton Shirt,8,6,5,Wash with cold water to save energy.
Groceries,Reusable Bag,8,10,2,Avoid plastic bags by carrying a reusable one.
Toys,Wooden Blocks,7,6,3,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,7,9,5,Made from sustainable materials.
Electronics,Laptop,8,4,3,Use energy-saving mode to reduce power consumption.
Healthcare,Reusable Cotton Pads,10,2,2,Replace disposable wipes with reusable ones.
Gardening,Compost Bin,5,9,2,Convert kitchen waste into compost.
Stationery,Pen,9,7,4,Refillable pens reduce plastic waste.
Gardening,Compost Bin,10,9,1,Convert kitchen waste into compost.
Electronics,Laptop,8,5,1,Use energy-saving mode to reduce power consumption.
Toys,Wooden Blocks,9,1,5,Eco-friendly alternative to plastic toys.
Electronics,Laptop,5,9,3,Use energy-saving mode to reduce power consumption.
Automotive,Eco Car Wash Shampoo,6,7,2,Biodegradable car wash soap.
Toys,Wooden Blocks,7,5,4,Eco-friendly alternative to plastic toys.
Beauty,Lipstick,7,5,1,Opt for refillable lipstick cases to reduce waste.
Gardening,Compost Bin,7,8,1,Convert kitchen waste into compost.
Automotive,Eco Car Wash Shampoo,6,3,4,Biodegradable car wash soap.
Sports,Recycled Yoga Mat,7,4,4,Made from sustainable materials.
Stationery,Notebook,5,8,3,Use recycled paper notebooks.
Household,Bamboo Toothbrush,6,2,5,Switch to biodegradable toothbrushes.
Automotive,Eco Car Wash Shampoo,5,6,5,Biodegradable car wash soap.
Automotive,Eco Car Wash Shampoo,8,10,1,Biodegradable car wash soap.
Automotive,Eco Car Wash Shampoo,6,5,4,Biodegradable car wash soap.
Sports,Recycled Yoga Mat,5,1,2,Made from sustainable materials.
Beauty,Lipstick,6,6,2,Opt for refillable lipstick cases to reduce waste.
Household,Bamboo Toothbrush,10,9,2,Switch to biodegradable toothbrushes.
Beauty,Lipstick,6,3,4,Opt for refillable lipstick cases to reduce waste.
Gardening,Compost Bin,8,6,4,Convert kitchen waste into compost.
Toys,Wooden Blocks,7,3,3,Eco-friendly alternative to plastic toys.
Clothing,Handkerchief,7,1,2,Reuse and wash instead of using tissues.
Healthcare,Reusable Cotton Pads,6,6,5,Replace disposable wipes with reusable ones.
Healthcare,Reusable Cotton Pads,7,2,5,Replace disposable wipes with reusable ones.
Groceries,Reusable Bag,10,4,4,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,6,4,3,Opt for refillable lipstick cases to reduce waste.
Stationery,Pen,6,3,1,Refillable pens reduce plastic waste.
Toys,Wooden Blocks,8,5,3,Eco-friendly alternative to plastic toys.
Automotive,Eco Car Wash Shampoo,7,8,2,Biodegradable car wash soap.
Furniture,Bamboo Chair,10,7,4,Sustainable alternative to plastic furniture.
Beauty,Lipstick,10,9,5,Opt for refillable lipstick cases to reduce waste.
Gardening,Compost Bin,9,8,5,Convert kitchen waste into compost.
Furniture,Bamboo Chair,5,2,1,Sustainable alternative to plastic furniture.
Sports,Recycled Yoga Mat,6,8,3,Made from sustainable materials.
Kitchen,Wooden Spoon,10,4,3,Use biodegradable wooden spoons instead of plastic.
Groceries,Reusable Bag,9,10,1,Avoid plastic bags by carrying a reusable one.
Furniture,Bamboo Chair,10,2,1,Sustainable alternative to plastic furniture.
Household,Bamboo Toothbrush,6,2,5,Switch to biodegradable toothbrushes.
Household,Bamboo Toothbrush,8,7,3,Switch to biodegradable toothbrushes.
Toys,Wooden Blocks,7,3,5,Eco-friendly alternative to plastic toys.
Furniture,Bamboo Chair,9,10,5,Sustainable alternative to plastic furniture.
Healthcare,Reusable Cotton Pads,8,7,3,Replace disposable wipes with reusable ones.
Kitchen,Wooden Spoon,6,3,3,Use biodegradable wooden spoons instead of plastic.
Kitchen,Wooden Spoon,7,9,5,Use biodegradable wooden spoons instead of plastic.
Stationery,Notebook,10,1,5,Use recycled paper notebooks.
Stationery,Pen,7,9,5,Refillable pens reduce plastic waste.
Toys,Wooden Blocks,5,10,5,Eco-friendly alternative to plastic toys.
Kitchen,Wooden Spoon,10,2,2,Use biodegradable wooden spoons instead of plastic.
Kitchen,Steel Water Bottle,10,8,2,Refill instead of buying plastic bottles.
Healthcare,Reusable Cotton Pads,6,8,4,Replace disposable wipes with reusable ones.
Gardening,Compost Bin,6,8,3,Convert kitchen waste into compost.
Kitchen,Steel Water Bottle,5,10,5,Refill instead of buying plastic bottles.
Electronics,Laptop,5,5,5,Use energy-saving mode to reduce power consumption.
Beauty,Lipstick,5,2,1,Opt for refillable lipstick cases to reduce waste.
Furniture,Bamboo Chair,9,2,3,Sustainable alternative to plastic furniture.
Stationery,Pen,8,5,5,Refillable pens reduce plastic waste.
Kitchen,Steel Water Bottle,9,9,2,Refill instead of buying plastic bottles.
Furniture,Bamboo Chair,10,9,2,Sustainable alternative to plastic furniture.
Electronics,LED Bulb,7,3,2,Switch to LED bulbs for lower energy usage.
Sports,Recycled Yoga Mat,10,1,1,Made from sustainable materials.
Toys,Wooden Blocks,6,4,1,Eco-friendly alternative to plastic toys.
Gardening,Compost Bin,10,4,5,Convert kitchen waste into compost.
Sports,Recycled Yoga Mat,6,3,4,Made from sustainable materials.
Furniture,Bamboo Chair,5,7,5,Sustainable alternative to plastic furniture.
Toys,Wooden Blocks,7,4,2,Eco-friendly alternative to plastic toys.
Beauty,Lipstick,8,5,2,Opt for refillable lipstick cases to reduce waste.
Stationery,Notebook,9,3,2,Use recycled paper notebooks.
Furniture,Bamboo Chair,10,7,5,Sustainable alternative to plastic furniture.
Kitchen,Steel Water Bottle,9,6,4,Refill instead of buying plastic bottles.
Sports,Recycled Yoga Mat,6,5,5,Made from sustainable materials.
Automotive,Eco Car Wash Shampoo,7,1,3,Biodegradable car wash soap.
Beauty,Lipstick,9,4,1,Opt for refillable lipstick cases to reduce waste.
Healthcare,Reusable Cotton Pads,9,6,2,Replace disposable wipes with reusable ones.
Furniture,Bamboo Chair,6,9,4,Sustainable alternative to plastic furniture.
Healthcare,Reusable Cotton Pads,8,8,4,Replace disposable wipes with reusable ones.
Stationery,Notebook,7,9,4,Use recycled paper notebooks.
Toys,Wooden Blocks,9,2,2,Eco-friendly alternative to plastic toys.
Healthcare,Reusable Cotton Pads,10,6,1,Replace disposable wipes with reusable ones.
Sports,Recycled Yoga Mat,8,4,1,Made from sustainable materials.
Stationery,Notebook,8,5,4,Use recycled paper notebooks.
Stationery,Notebook,7,6,5,Use recycled paper notebooks.
Clothing,Cotton Shirt,5,1,2,Wash with cold water to save energy.
Toys,Wooden Blocks,5,7,2,Eco-friendly alternative to plastic toys.
Furniture,Bamboo Chair,7,2,1,Sustainable alternative to plastic furniture.
Gardening,Compost Bin,9,7,4,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,6,2,5,Switch to biodegradable toothbrushes.
Furniture,Bamboo Chair,9,3,5,Sustainable alternative to plastic furniture.
Electronics,Laptop,6,4,3,Use energy-saving mode to reduce power consumption.
Electronics,Laptop,7,8,2,Use energy-saving mode to reduce power consumption.
Electronics,Laptop,10,9,3,Use energy-saving mode to reduce power consumption.
Kitchen,Wooden Spoon,8,2,3,Use biodegradable wooden spoons instead of plastic.
Household,Bamboo Toothbrush,7,9,1,Switch to biodegradable toothbrushes.
Stationery,Pen,10,1,3,Refillable pens reduce plastic waste.
Gardening,Compost Bin,8,1,2,Convert kitchen waste into compost.
Electronics,Laptop,5,2,1,Use energy-saving mode to reduce power consumption.
Toys,Wooden Blocks,8,10,3,Eco-friendly alternative to plastic toys.
Clothing,Handkerchief,9,2,2,Reuse and wash instead of using tissues.
Groceries,Reusable Bag,8,9,4,Avoid plastic bags by carrying a reusable one.
Sports,Recycled Yoga Mat,6,1,3,Made from sustainable materials.
Gardening,Compost Bin,8,6,4,Convert kitchen waste into compost.
Stationery,Pen,6,4,3,Refillable pens reduce plastic waste.
Automotive,Eco Car Wash Shampoo,10,1,1,Biodegradable car wash soap.
Beauty,Lipstick,6,1,2,Opt for refillable lipstick cases to reduce waste.
Beauty,Lipstick,6,6,3,Opt for refillable lipstick cases to reduce waste.
Toys,Wooden Blocks,7,5,4,Eco-friendly alternative to plastic toys.
Healthcare,Reusable Cotton Pads,8,9,1,Replace disposable wipes with reusable ones.
Clothing,Cotton Shirt,7,5,1,Wash with cold water to save energy.
Household,Bamboo Toothbrush,10,1,3,Switch to biodegradable toothbrushes.
Automotive,Eco Car Wash Shampoo,8,3,3,Biodegradable car wash soap.
Sports,Recycled Yoga Mat,7,1,1,Made from sustainable materials.
Kitchen,Steel Water Bottle,5,6,5,Refill instead of buying plastic bottles.
Furniture,Bamboo Chair,5,3,3,Sustainable alternative to plastic furniture.
Toys,Wooden Blocks,5,1,4,Eco-friendly alternative to plastic toys.
Clothing,Cotton Shirt,10,5,5,Wash with cold water to save energy.
Sports,Recycled Yoga Mat,10,9,4,Made from sustainable materials.
Stationery,Notebook,9,8,1,Use recycled paper notebooks.
Toys,Wooden Blocks,9,4,3,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,6,3,4,Made from sustainable materials.
Kitchen,Steel Water Bottle,9,10,3,Refill instead of buying plastic bottles.
Groceries,Reusable Bag,7,1,5,Avoid plastic bags by carrying a reusable one.
Groceries,Reusable Bag,9,8,1,Avoid plastic bags by carrying a reusable one.
Electronics,Laptop,8,7,3,Use energy-saving mode to reduce power consumption.
Automotive,Eco Car Wash Shampoo,5,3,4,Biodegradable car wash soap.
Electronics,LED Bulb,9,10,1,Switch to LED bulbs for lower energy usage.
Sports,Recycled Yoga Mat,5,4,2,Made from sustainable materials.
Gardening,Compost Bin,5,4,5,Convert kitchen waste into compost.
Kitchen,Steel Water Bottle,10,7,5,Refill instead of buying plastic bottles.
Electronics,Laptop,5,10,1,Use energy-saving mode to reduce power consumption.
Toys,Wooden Blocks,10,1,4,Eco-friendly alternative to plastic toys.
Groceries,Reusable Bag,10,4,1,Avoid plastic bags by carrying a reusable one.
Household,Bamboo Toothbrush,6,3,3,Switch to biodegradable toothbrushes.
Furniture,Bamboo Chair,6,10,4,Sustainable alternative to plastic furniture.
Kitchen,Steel Water Bottle,10,1,4,Refill instead of buying plastic bottles.
Kitchen,Wooden Spoon,5,8,4,Use biodegradable wooden spoons instead of plastic.
Toys,Wooden Blocks,7,8,5,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,7,1,4,Made from sustainable materials.
Automotive,Eco Car Wash Shampoo,5,4,2,Biodegradable car wash soap.
Kitchen,Steel Water Bottle,6,3,1,Refill instead of buying plastic bottles.
Electronics,LED Bulb,10,9,2,Switch to LED bulbs for lower energy usage.
Electronics,LED Bulb,5,3,2,Switch to LED bulbs for lower energy usage.
Gardening,Compost Bin,7,5,1,Convert kitchen waste into compost.
Electronics,LED Bulb,6,7,3,Switch to LED bulbs for lower energy usage.
Beauty,Lipstick,7,3,5,Opt for refillable lipstick cases to reduce waste.
Household,Bamboo Toothbrush,7,7,3,Switch to biodegradable toothbrushes.
Healthcare,Reusable Cotton Pads,6,5,5,Replace disposable wipes with reusable ones.
Kitchen,Wooden Spoon,6,6,4,Use biodegradable wooden spoons instead of plastic.
Gardening,Compost Bin,6,9,1,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,10,10,3,Switch to biodegradable toothbrushes.
Gardening,Compost Bin,5,3,4,Convert kitchen waste into compost.
Clothing,Cotton Shirt,5,1,2,Wash with cold water to save energy.
Stationery,Pen,10,2,1,Refillable pens reduce plastic waste.
Household,Bamboo Toothbrush,8,7,5,Switch to biodegradable toothbrushes.
Groceries,Reusable Bag,6,7,2,Avoid plastic bags by carrying a reusable one.
Electronics,LED Bulb,10,9,4,Switch to LED bulbs for lower energy usage.
Healthcare,Reusable Cotton Pads,8,1,3,Replace disposable wipes with reusable ones.
Groceries,Reusable Bag,8,8,4,Avoid plastic bags by carrying a reusable one.
Toys,Wooden Blocks,7,3,1,Eco-friendly alternative to plastic toys.
Beauty,Lipstick,5,4,5,Opt for refillable lipstick cases to reduce waste.
Sports,Recycled Yoga Mat,9,3,5,Made from sustainable materials.
Furniture,Bamboo Chair,10,9,2,Sustainable alternative to plastic furniture.
Electronics,Laptop,6,4,3,Use energy-saving mode to reduce power consumption.
Automotive,Eco Car Wash Shampoo,9,2,5,Biodegradable car wash soap.
Toys,Wooden Blocks,6,2,2,Eco-friendly alternative to plastic toys.
Electronics,LED Bulb,6,4,4,Switch to LED bulbs for lower energy usage.
Groceries,Reusable Bag,10,2,2,Avoid plastic bags by carrying a reusable one.
Gardening,Compost Bin,10,7,4,Convert kitchen waste into compost.
Clothing,Cotton Shirt,9,7,3,Wash with cold water to save energy.
Stationery,Pen,7,9,2,Refillable pens reduce plastic waste.
Beauty,Lipstick,7,10,3,Opt for refillable lipstick cases to reduce waste.
Household,Bamboo Toothbrush,7,10,2,Switch to biodegradable toothbrushes.
Automotive,Eco Car Wash Shampoo,7,8,4,Biodegradable car wash soap.
Toys,Wooden Blocks,7,9,5,Eco-friendly alternative to plastic toys.
Clothing,Cotton Shirt,6,8,1,Wash with cold water to save energy.
Healthcare,Reusable Cotton Pads,10,5,3,Replace disposable wipes with reusable ones.
Healthcare,Reusable Cotton Pads,7,2,1,Replace disposable wipes with reusable ones.
Household,Bamboo Toothbrush,5,7,1,Switch to biodegradable toothbrushes.
Furniture,Bamboo Chair,10,8,1,Sustainable alternative to plastic furniture.
Sports,Recycled Yoga Mat,8,6,4,Made from sustainable materials.
Household,Bamboo Toothbrush,5,9,2,Switch to biodegradable toothbrushes.
Household,Bamboo Toothbrush,6,7,2,Switch to biodegradable toothbrushes.
Kitchen,Wooden Spoon,8,7,2,Use biodegradable wooden spoons instead of plastic.
Groceries,Reusable Bag,5,5,2,Avoid plastic bags by carrying a reusable one.
Stationery,Pen,9,2,1,Refillable pens reduce plastic waste.
Household,Bamboo Toothbrush,9,8,1,Switch to biodegradable toothbrushes.
Automotive,Eco Car Wash Shampoo,5,5,3,Biodegradable car wash soap.
Groceries,Reusable Bag,7,9,2,Avoid plastic bags by carrying a reusable one.
Furniture,Bamboo Chair,8,9,2,Sustainable alternative to plastic furniture.
Household,Bamboo Toothbrush,9,5,2,Switch to biodegradable toothbrushes.
Automotive,Eco Car Wash Shampoo,5,10,2,Biodegradable car wash soap.
Toys,Wooden Blocks,7,3,3,Eco-friendly alternative to plastic toys.
Gardening,Compost Bin,6,3,1,Convert kitchen waste into compost.
Sports,Recycled Yoga Mat,8,3,2,Made from sustainable materials.
Stationery,Notebook,9,9,2,Use recycled paper notebooks.
Electronics,Laptop,7,3,3,Use energy-saving mode to reduce power consumption.
Gardening,Compost Bin,8,7,4,Convert kitchen waste into compost.
Toys,Wooden Blocks,5,3,5,Eco-friendly alternative to plastic toys.
Gardening,Compost Bin,7,10,5,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,10,10,4,Switch to biodegradable toothbrushes.
Stationery,Pen,9,4,4,Refillable pens reduce plastic waste.
Household,Bamboo Toothbrush,6,8,1,Switch to biodegradable toothbrushes.
Kitchen,Steel Water Bottle,7,10,1,Refill instead of buying plastic bottles.
Gardening,Compost Bin,5,9,4,Convert kitchen waste into compost.
Beauty,Lipstick,6,10,4,Opt for refillable lipstick cases to reduce waste.
Furniture,Bamboo Chair,7,2,1,Sustainable alternative to plastic furniture.
Toys,Wooden Blocks,5,1,1,Eco-friendly alternative to plastic toys.
Toys,Wooden Blocks,9,6,3,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,9,1,4,Made from sustainable materials.
Automotive,Eco Car Wash Shampoo,5,5,1,Biodegradable car wash soap.
Electronics,Laptop,5,3,1,Use energy-saving mode to reduce power consumption.
Groceries,Reusable Bag,5,3,1,Avoid plastic bags by carrying a reusable one.
Gardening,Compost Bin,8,5,1,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,10,3,3,Switch to biodegradable toothbrushes.
Gardening,Compost Bin,5,5,5,Convert kitchen waste into compost.
Clothing,Cotton Shirt,8,2,1,Wash with cold water to save energy.
Kitchen,Steel Water Bottle,7,6,4,Refill instead of buying plastic bottles.
Gardening,Compost Bin,7,10,4,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,10,6,2,Switch to biodegradable toothbrushes.
Gardening,Compost Bin,7,8,4,Convert kitchen waste into compost.
Toys,Wooden Blocks,7,1,4,Eco-friendly alternative to plastic toys.
Electronics,Laptop,8,2,4,Use energy-saving mode to reduce power consumption.
Gardening,Compost Bin,7,8,2,Convert kitchen waste into compost.
Sports,Recycled Yoga Mat,10,8,5,Made from sustainable materials.
Furniture,Bamboo Chair,9,4,4,Sustainable alternative to plastic furniture.
Electronics,Laptop,8,5,2,Use energy-saving mode to reduce power consumption.
Clothing,Cotton Shirt,10,5,3,Wash with cold water to save energy.
Electronics,Laptop,6,7,2,Use energy-saving mode to reduce power consumption.
Gardening,Compost Bin,7,3,2,Convert kitchen waste into compost.
Groceries,Reusable Bag,8,2,1,Avoid plastic bags by carrying a reusable one.
Kitchen,Steel Water Bottle,7,5,1,Refill instead of buying plastic bottles.
Groceries,Reusable Bag,8,8,3,Avoid plastic bags by carrying a reusable one.
Furniture,Bamboo Chair,9,8,2,Sustainable alternative to plastic furniture.
Household,Bamboo Toothbrush,6,5,4,Switch to biodegradable toothbrushes.
Beauty,Lipstick,5,1,1,Opt for refillable lipstick cases to reduce waste.
Stationery,Notebook,8,8,5,Use recycled paper notebooks.
Beauty,Lipstick,6,5,4,Opt for refillable lipstick cases to reduce waste.
Clothing,Cotton Shirt,7,4,5,Wash with cold water to save energy.
Kitchen,Wooden Spoon,7,2,4,Use biodegradable wooden spoons instead of plastic.
Toys,Wooden Blocks,7,5,5,Eco-friendly alternative to plastic toys.
Clothing,Cotton Shirt,5,6,4,Wash with cold water to save energy.
Sports,Recycled Yoga Mat,6,8,2,Made from sustainable materials.
Household,Bamboo Toothbrush,7,7,1,Switch to biodegradable toothbrushes.
Beauty,Lipstick,8,6,3,Opt for refillable lipstick cases to reduce waste.
Stationery,Notebook,5,8,2,Use recycled paper notebooks.
Gardening,Compost Bin,7,5,1,Convert kitchen waste into compost.
Household,Bamboo Toothbrush,10,10,1,Switch to biodegradable toothbrushes.
Stationery,Pen,9,8,5,Refillable pens reduce plastic waste.
Furniture,Bamboo Chair,9,3,3,Sustainable alternative to plastic furniture.
Groceries,Reusable Bag,5,6,2,Avoid plastic bags by carrying a reusable one.
Kitchen,Steel Water Bottle,7,3,4,Refill instead of buying plastic bottles.
Clothing,Cotton Shirt,9,1,2,Wash with cold water to save energy.
Toys,Wooden Blocks,8,3,3,Eco-friendly alternative to plastic toys.
Automotive,Eco Car Wash Shampoo,6,2,4,Biodegradable car wash soap.
Groceries,Reusable Bag,9,6,2,Avoid plastic bags by carrying a reusable one.
Healthcare,Reusable Cotton Pads,7,6,3,Replace disposable wipes with reusable ones.
Groceries,Reusable Bag,7,1,3,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,8,1,1,Opt for refillable lipstick cases to reduce waste.
Healthcare,Reusable Cotton Pads,6,3,4,Replace disposable wipes with reusable ones.
Gardening,Compost Bin,6,8,5,Convert kitchen waste into compost.
Groceries,Reusable Bag,5,9,5,Avoid plastic bags by carrying a reusable one.
Electronics,Laptop,6,10,1,Use energy-saving mode to reduce power consumption.
Electronics,Laptop,7,3,2,Use energy-saving mode to reduce power consumption.
Kitchen,Steel Water Bottle,8,9,4,Refill instead of buying plastic bottles.
Kitchen,Wooden Spoon,7,7,3,Use biodegradable wooden spoons instead of plastic.
Healthcare,Reusable Cotton Pads,6,1,1,Replace disposable wipes with reusable ones.
Stationery,Notebook,10,5,4,Use recycled paper notebooks.
Healthcare,Reusable Cotton Pads,9,8,2,Replace disposable wipes with reusable ones.
Electronics,LED Bulb,10,2,4,Switch to LED bulbs for lower energy usage.
Groceries,Reusable Bag,6,8,4,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,6,9,3,Opt for refillable lipstick cases to reduce waste.
Furniture,Bamboo Chair,10,3,2,Sustainable alternative to plastic furniture.
Electronics,Laptop,8,8,1,Use energy-saving mode to reduce power consumption.
Household,Bamboo Toothbrush,6,4,3,Switch to biodegradable toothbrushes.
Furniture,Bamboo Chair,9,7,4,Sustainable alternative to plastic furniture.
Household,Bamboo Toothbrush,9,10,2,Switch to biodegradable toothbrushes.
Toys,Wooden Blocks,7,4,5,Eco-friendly alternative to plastic toys.
Household,Bamboo Toothbrush,10,2,3,Switch to biodegradable toothbrushes.
Sports,Recycled Yoga Mat,8,1,4,Made from sustainable materials.
Toys,Wooden Blocks,6,5,5,Eco-friendly alternative to plastic toys.
Clothing,Handkerchief,9,8,4,Reuse and wash instead of using tissues.
Toys,Wooden Blocks,9,6,5,Eco-friendly alternative to plastic toys.
Sports,Recycled Yoga Mat,10,8,4,Made from sustainable materials.
Toys,Wooden Blocks,6,9,5,Eco-friendly alternative to plastic toys.
Groceries,Reusable Bag,5,7,3,Avoid plastic bags by carrying a reusable one.
Beauty,Lipstick,7,3,3,Opt for refillable lipstick cases to reduce waste.
Automotive,Eco Car Wash Shampoo,7,5,1,Biodegradable car wash soap.
Electronics,Laptop,7,5,2,Use energy-saving mode to reduce power consumption.
Electronics,Laptop,10,9,4,Use energy-saving mode to reduce power consumption.
Sports,Recycled Yoga Mat,7,5,2,Made from sustainable materials.
Clothing,Handkerchief,7,8,5,Reuse and wash instead of using tissues.
Beauty,Lipstick,10,8,4,Opt for refillable lipstick cases to reduce waste.
Automotive,Eco Car Wash Shampoo,6,2,5,Biodegradable car wash soap.
Sports,Recycled Yoga Mat,9,7,2,Made from sustainable materials.
